Date,Open,High,Low,Close,Volume
2024-01-01,198.91,203.35999999999999,194.85999999999999,195.01,2324809
2024-01-02,162.69,166.34,158.72,163.96,2149184
2024-01-03,156.37,159.0,155.59,157.18,2572688
2024-01-04,198.9,200.28,198.43,198.54,4382374
2024-01-05,174.85,176.16,170.7,173.61,2483851
2024-01-06,180.76,184.23,177.31,178.38,1788169
2024-01-07,182.24,183.46,182.03,182.56,3260684
2024-01-08,196.8,197.98000000000002,194.61,196.69,2867733
2024-01-09,164.55,167.01000000000002,161.39000000000001,166.5,3083972
2024-01-10,172.82,173.2,169.70999999999998,172.49,2962128
2024-01-11,189.92,192.29999999999998,186.30999999999997,189.61,2019228
2024-01-12,186.74,187.74,183.63,184.34,1192007
2024-01-13,161.23,161.28,159.89999999999998,161.2,3106889
2024-01-14,186.3,188.47,186.15,186.35,4822196
2024-01-15,153.47,155.33,151.45,154.0,1171766
2024-01-16,153.8,156.48000000000002,148.85000000000002,154.31,2442970
2024-01-17,167.42,169.89999999999998,166.45,168.97,4795320
2024-01-18,189.26,194.14999999999998,189.23,192.12,1739828
2024-01-19,171.16,171.39,169.59,170.97,2829568
2024-01-20,167.23,168.97,165.70999999999998,167.7,1407747
2024-01-21,160.89,161.82,159.41,160.54,1049077
2024-01-22,159.34,163.77,159.32,162.12,1465546
2024-01-23,163.14,165.57999999999998,159.94,160.75,4073340
2024-01-24,198.45,200.60999999999999,194.33999999999997,199.51,4072353
2024-01-25,188.91,192.60999999999999,184.79999999999998,185.88,2637364
2024-01-26,194.34,195.38,189.4,193.59,1213643
2024-01-27,194.48,198.54999999999998,190.82999999999998,193.52,4349110
2024-01-28,161.85,164.51999999999998,157.67,160.37,1374780
2024-01-29,164.78,167.09,163.3,166.63,2154628
2024-01-30,152.62,156.18,150.03,150.82,3879610
