Date,Open,High,Low,Close,Volume
2024-01-01,172.41,176.87,169.37,170.6,1516385
2024-01-02,153.75,156.82,150.41,156.47,3422851
2024-01-03,181.25,182.23,177.41,180.57,1749078
2024-01-04,159.16,163.29,156.95,162.99,2475406
2024-01-05,196.2,200.78,196.16,199.77,2099564
2024-01-06,155.23,159.69,152.89999999999998,157.27,3958874
2024-01-07,167.46,171.86,164.49,171.78,4714657
2024-01-08,184.12,188.47,183.56,188.23,2233889
2024-01-09,172.14,174.44,171.77999999999997,172.49,1463449
2024-01-10,186.56,190.16,186.33,186.75,4235085
2024-01-11,199.61,202.17000000000002,197.14000000000001,198.32,3460799
2024-01-12,189.66,190.34,185.54,188.88,2555310
2024-01-13,199.37,200.75,198.54,200.18,2674457
2024-01-14,199.85,202.82999999999998,198.60999999999999,198.94,1476564
2024-01-15,155.68,155.86,154.74,155.83,2386028
2024-01-16,172.06,175.84,170.38,173.6,4616353
2024-01-17,174.88,176.24,170.75,170.82,2661527
2024-01-18,179.28,180.21,176.71,178.59,4525122
2024-01-19,171.65,171.82,171.57,171.78,3751076
2024-01-20,190.37,194.08,189.70000000000002,190.34,3781486
2024-01-21,169.3,170.51000000000002,164.68,165.73,4176392
2024-01-22,161.53,162.78,157.6,161.55,3593258
2024-01-23,155.41,158.07,154.34,156.7,2762291
2024-01-24,182.07,184.41,177.17,179.67,2651049
2024-01-25,157.67,159.92999999999998,157.04,159.69,3971625
2024-01-26,188.74,192.16,186.18,191.4,2117371
2024-01-27,153.54,158.17999999999998,151.13,156.91,1028470
2024-01-28,185.21,186.92000000000002,182.35,182.83,4352889
2024-01-29,164.49,166.74,159.76000000000002,162.4,3181584
2024-01-30,187.65,192.28,186.5,189.47,2410370
