Date,Open,High,Low,Close,Volume
2024-01-01,175.8,179.57000000000002,173.54000000000002,178.69,2021430
2024-01-02,167.15,171.87,166.77,167.02,1765958
2024-01-03,167.19,167.9,163.71,164.28,2575513
2024-01-04,158.66,160.34,158.17,159.37,3732030
2024-01-05,181.27,183.14000000000001,178.69,179.84,4435683
2024-01-06,180.57,183.32999999999998,179.79999999999998,182.06,2834185
2024-01-07,168.03,169.36,166.07,166.76,2595207
2024-01-08,188.82,192.13,187.4,189.76,1282423
2024-01-09,198.07,202.53,196.07999999999998,201.74,4174855
2024-01-10,171.43,172.93,166.93,169.1,2870666
2024-01-11,159.36,162.51000000000002,158.21,158.65,1564681
2024-01-12,193.88,196.67,189.96,192.03,1224377
2024-01-13,174.04,175.75,171.35,172.07,1882449
2024-01-14,174.27,177.99,171.89000000000001,176.61,4963738
2024-01-15,177.53,182.07,176.13,181.84,1553227
2024-01-16,151.67,155.72,148.11999999999998,149.05,2950678
2024-01-17,186.87,189.56,185.71,188.32,4124646
2024-01-18,193.86,195.29000000000002,192.8,194.12,4456767
2024-01-19,199.47,200.65,197.78,198.55,4331397
2024-01-20,189.99,192.48000000000002,186.73000000000002,187.13,1244922
2024-01-21,194.2,198.76,194.2,198.34,1677283
2024-01-22,157.49,158.62,155.75,156.6,2989094
2024-01-23,169.21,171.59,164.70000000000002,171.35,4110120
2024-01-24,158.36,161.73000000000002,157.71,159.98,4632746
2024-01-25,167.89,169.51999999999998,164.14,168.71,2068368
2024-01-26,156.67,160.60999999999999,153.94,158.86,2951958
2024-01-27,198.89,202.07,194.23,196.74,2336894
2024-01-28,164.5,168.9,161.42,166.37,2963789
2024-01-29,159.0,162.6,157.97,162.04,1092113
2024-01-30,170.93,175.66,170.44,173.28,1394936
