Date,Open,High,Low,Close,Volume
2024-01-01,152.48,157.45999999999998,150.2,153.38,3299580
2024-01-02,182.88,186.10999999999999,180.39,180.78,1697412
2024-01-03,169.51,173.28,164.73,168.13,3447829
2024-01-04,158.24,160.87,153.92000000000002,159.3,2680873
2024-01-05,194.55,196.16000000000003,191.82000000000002,194.57,2924982
2024-01-06,151.14,155.10999999999999,147.42999999999998,153.97,2228241
2024-01-07,150.08,154.65,149.54000000000002,153.33,4300417
2024-01-08,180.23,180.97,179.41,180.59,1940798
2024-01-09,170.31,172.02,165.6,166.56,4445420
2024-01-10,191.9,195.87,187.59,192.43,1165707
2024-01-11,155.03,155.76,151.73,154.41,1084507
2024-01-12,158.3,160.98000000000002,157.77,160.15,1977194
2024-01-13,192.13,192.96,188.73,189.24,1013606
2024-01-14,195.21,198.42000000000002,190.76000000000002,193.76,2514566
2024-01-15,186.83,187.92000000000002,183.51000000000002,184.24,1684651
2024-01-16,168.37,169.33,165.22,167.66,3737771
2024-01-17,157.58,160.32000000000002,154.94000000000003,155.59,1236200
2024-01-18,157.03,160.0,156.81,158.56,3330312
2024-01-19,155.98,159.76999999999998,152.34,159.24,2523639
2024-01-20,164.62,167.67000000000002,162.58,163.31,2138857
2024-01-21,161.02,165.61,158.22,163.46,2455863
2024-01-22,172.34,173.67000000000002,171.82,173.23,4952363
2024-01-23,171.1,172.22,170.59,170.96,1754872
2024-01-24,160.87,165.70000000000002,157.1,163.95,3719330
2024-01-25,179.04,181.91,174.63,180.17,4754877
2024-01-26,186.11,186.28,182.75,185.58,4367540
2024-01-27,150.39,155.05999999999997,150.38,153.63,3264917
2024-01-28,190.82,195.10999999999999,189.26999999999998,195.1,3459562
2024-01-29,168.39,170.91,165.14999999999998,167.25,4385191
2024-01-30,173.54,173.87,169.23999999999998,171.27,2125187
